0	which	yang
1	and	dan
2	at	di
3	this	ini
4	from	dari
5	to	untuk
6	with	dengan
7	the	itu
8	can	bisa
9	I	aku
10	there	ada
11	no	tidak
12	will	akan
13	is	adalah
14	in	dalam
15	at	pada
16	us	kita
17	people	orang
18	to	ke
19	also	juga
20	you	anda
21	him	dia
22	me	saya
23	yes	ya
24	You	kamu
25	more	lebih
26	what	apa
27	already	sudah
28	them	mereka
29	but	tapi
30	because	karena
31	or	atau
32	become	menjadi
33	not	tak
34	either	baik
35	so	jadi
36	must be	harus
37	one	satu
38	again	lagi
39	like	seperti
40	by	oleh
41	many	banyak
42	if	jika
43	only	hanya
44	we	kami
45	when	saat
46	year	tahun
47	don't	jangan
48	as	sebagai
49	day	hari
50	have	telah
51	all	semua
52	can	dapat
53	p	hal
54	child	anak
55	that	bahwa
56	not	bukan
57	indonesia	indonesia
58	only	saja
59	very	sangat
60	still	masih
61	have	memiliki
62	ever	pernah
63	want	mau
64	other	lain
65	now	sekarang
66	new	baru
67	same	sama
68	a	seorang
69	The	tersebut
70	if	kalau
71	some	beberapa
72	big	besar
73	wrong	salah
74	yourself	sendiri
75	want	ingin
76	a	sebuah
77	it	ia
78	after	setelah
79	time	waktu
80	up to	sampai
81	place	tempat
82	make	membuat
83	have	punya
84	possible	mungkin
85	live	hidup
86	do	melakukan
87	who	siapa
88	not yet	belum
89	times	kali
90	you	kau
91	about	tentang
92	over	atas
93	two	dua
94	world	dunia
95	by	secara
96	when	ketika
97	language	bahasa
98	How to	cara
99	para	para
100	home	rumah
101	always	selalu
102	then	lalu
103	right	benar
104	city	kota
105	self	diri
106	part	bagian
107	back	kembali
108	definitely	pasti
109	during	selama
110	first	pertama
111	with	bersama
112	name	nama
113	every	setiap
114	without	tanpa
115	happens	terjadi
116	to	kepada
117	from	mulai
118	most	paling
119	stay	tetap
120	time	masa
121	know	tahu
122	long	lama
123	need	perlu
124	located	berada
125	enough	cukup
126	right	kan
127	love	kasih
128	said	kata
129	then	kemudian
130	outside	luar
131	where	mana
132	problem	masalah
133	moon	bulan
134	night	malam
135	enter	masuk
136	see	melihat
137	however	namun
138	woman	wanita
139	indeed	memang
140	is	sedang
141	once	sekali
142	but	tetapi
143	heart	hati
144	to	hingga
145	eat	makan
146	is	merupakan
147	his	nya
148	also	pun
149	water	air
150	you	kalian
151	someone	seseorang
152	like	suka
153	friend	teman
154	street	jalan
155	small	kecil
156	why	kenapa
157	continue	terus
158	god	tuhan
159	who	yg
160	hours	jam
161	before	sebelum
162	too	terlalu
163	fast	cepat
164	jakarta	jakarta
165	country	negara
166	player	pemain
167	for	bagi
168	England	inggris
169	congratulations	selamat
170	often	sering
171	that is	yaitu
172	order	agar
173	d	d
174	more	lainnya
175	human	manusia
176	using	menggunakan
177	date	tanggal
178	high	tinggi
179	even	bahkan
180	so	begitu
181	first	dulu
182	best	terbaik
183	regular	biasa
184	get	mendapatkan
185	how	bagaimana
186	come	datang
187	mom	ibu
188	feel	merasa
189	taste	rasa
190	money	uang
191	front	depan
192	me	ku
193	then	maka
194	a	suatu
195	usually	biasanya
196	man	pria
197	around	sekitar
198	school	sekolah
199	accept	terima
200	finally	akhirnya
201	between	antara
202	both	kedua
203	sick	sakit
204	and	serta
205	down	bawah
206	far	jauh
207	eyes	mata
208	the	the
209	three	tiga
210	team	tim
211	a	a
212	whether	apakah
213	create	buat
214	work	kerja
215	see	lihat
216	dear	sayang
217	whole	seluruh
218	something	sesuatu
219	sleep	tidur
220	god	allah
221	where	dimana
222	here	disini
223	family	keluarga
224	search	mencari
225	easy	mudah
226	since	sejak
227	ready	siap
228	good	bagus
229	do	lakukan
230	via	melalui
231	important	penting
232	go	pergi
233	company	perusahaan
234	believe	percaya
235	work	bekerja
236	ball	bola
237	direct	langsung
238	car	mobil
239	sure	tentu
240	live	tinggal
241	head	kepala
242	says	mengatakan
243	Previous	sebelumnya
244	so	sehingga
245	used	digunakan
246	against	terhadap
247	successfully	berhasil
248	Male	laki
249	society	masyarakat
250	provide	memberikan
251	according to	menurut
252	government	pemerintah
253	besides	selain
254	si	si
255	system	sistem
256	book	buku
257	love	cinta
258	any	apapun
259	variety	berbagai
260	play	bermain
261	near	dekat
262	done	dilakukan
263	i	i
264	Sorry	maaf
265	little	sedikit
266	Says	bilang
267	result	hasil
268	morning	pagi
269	website	situs
270	fear	takut
271	hand	tangan
272	middle	tengah
273	learn	belajar
274	means	berarti
275	area	daerah
276	follow	ikut
277	help	membantu
278	later	nanti
279	actually	sebenarnya
280	soon	segera
281	here	sini
282	exactly	tepat
283	look	terlihat
284	end	akhir
285	beginning	awal
286	need	butuh
287	strong	kuat
288	song	lagu
289	airplane	pesawat
290	just	cuma
291	class	kelas
292	find	menemukan
293	while	sementara
294	last	terakhir
295	including	termasuk
296	event	acara
297	try	coba
298	women	perempuan
299	arrived	tiba
300	member	anggota
301	different	berbeda
302	movie	film
303	life	kehidupan
304	You	mu
305	more	semakin
306	everything	semuanya
307	video	video
308	register	daftar
309	exit	keluar
310	request	minta
311	well	nah
312	well	yah
313	price	harga
314	number	nomor
315	space	ruang
316	part	sebagian
317	hopefully	semoga
318	difficult	sulit
319	earlier	tadi
320	old	tua
321	change	berubah
322	Basic	dasar
323	relationship	hubungan
324	Islam	islam
325	each	masing
326	minute	menit
327	young	muda
328	program	program
329	process	proses
330	question	soal
331	turns	ternyata
332	main	utama
333	al	al
334	reason	alasan
335	safe	aman
336	search	cari
337	type	jenis
338	amount	jumlah
339	opportunity	kesempatan
340	less	kurang
341	food	makanan
342	die	mati
343	try	mencoba
344	take	mengambil
345	soil	tanah
346	form	bentuk
347	when	bila
348	get	dapatkan
349	Java	jawa
350	improve	meningkatkan
351	on	on
352	long	panjang
353	official	resmi
354	sound	suara
355	public	umum
356	village	desa
357	photo	foto
358	district	kabupaten
359	got	mendapat
360	week	minggu
361	no	no
